Year,annual_average,deseasonalized_annual_average,std_of_months
1976,332.02666666666664,332.02833333333336,2.0856101498050172
1977,333.8433333333333,333.8416666666667,1.9318824231742728
1978,335.41499999999996,335.4133333333333,1.9950142400949942
1979,336.83583333333337,336.8358333333333,1.8376390897677377
1980,338.7625,338.76500000000004,1.8712714442810863
1981,340.1191666666667,340.11999999999995,2.1059891147665444
1982,341.4791666666667,341.4766666666667,2.151386269080437
1983,343.1525,343.1525,1.9360931842713083
1985,346.3516666666667,346.3508333333334,1.996983330987613
1986,347.60833333333335,347.60833333333335,1.8343581157913766
1987,349.3125,349.31333333333333,1.8004298729116532
1988,351.6908333333334,351.6908333333334,1.780860151384122
1989,353.2050000000001,353.205,1.978569271882183
1990,354.4533333333334,354.45166666666665,1.8923786538895881
1991,355.70416666666665,355.7033333333333,2.343313343162292
1992,356.54416666666674,356.5458333333333,2.304432323443958
1993,357.21583333333325,357.21416666666664,2.033597163708295
1994,358.95916666666676,358.96,1.9166564558357808
1995,360.9683333333333,360.96666666666664,1.9536717568039226
1996,362.7433333333334,362.74333333333334,1.9606693353098108
1997,363.87750000000005,363.8766666666666,2.008577628798321
1998,366.84,366.83916666666664,1.7905204931426006
1999,368.53999999999996,368.5408333333333,2.0803496209662793
2000,369.70666666666665,369.7075,1.6954341537485316
2001,371.31916666666666,371.3183333333333,1.8937718895624593
2002,373.45250000000004,373.45249999999993,1.7354073401837493
2003,375.98333333333335,375.98333333333335,1.8408364370249706
2004,377.6983333333333,377.69750000000005,2.11006175408698
2005,379.98333333333335,379.9825,1.9879150033656003
2006,382.09083333333336,382.08916666666664,2.027064417209073
2007,384.0249999999999,384.0241666666666,1.9585871531192138
2008,385.8308333333334,385.83,1.745208809248557
2009,387.6433333333334,387.64333333333326,1.876642714740311
2010,390.1016666666667,390.1016666666667,2.0272903246960112
2011,391.85083333333336,391.85083333333324,1.7379583546288642
2012,394.05583333333334,394.05583333333334,1.823774598978398
2013,396.73749999999995,396.7383333333333,1.956230721659289
2014,398.87083333333334,398.86999999999995,2.062092751345463
2016,404.41249999999997,404.41416666666663,2.208718777111204
2017,406.7575,406.7575,2.0309430187611235
2018,408.715,408.715,1.7877182002867136
2019,411.6541666666665,411.6558333333333,1.9409625462797153
2020,414.2383333333333,414.23583333333335,1.8809467313192663
2021,416.4508333333334,416.4499999999999,2.0250273099542606
2022,418.19,417.87,
